database code	IP	user	total	IP_percentage	user_percentage	overall size rank
enwiki	847	22379	23226	3.65	96.35	1
jawiki	5763	9107	14870	38.76	61.24	3
dewiki	679	782	1461	46.48	53.52	4
ruwiki	925	2469	3394	27.25	72.75	6
commonswiki	560	28389	28949	1.93	98.07	7
zhwiki	386	1264	1650	23.39	76.61	8
itwiki	1060	1664	2724	38.91	61.09	9
ptwiki	48	346	394	12.18	87.82	10
wikidatawiki	9261	17325	26586	34.83	65.17	11
fawiki	0	1277	1277	0.0	100.0	12
plwiki	124	33	157	78.98	21.02	14
idwiki	8	4831	4839	0.17	99.83	15
nlwiki	361	162	523	69.02	30.98	16
trwiki	793	706	1499	52.9	47.1	17
ukwiki	410	515	925	44.32	55.68	18
enwiktionary	1996	2144	4140	48.21	51.79	19
kowiki	7580	2545	10125	74.86	25.14	20
viwiki	1184	2088	3272	36.19	63.81	21
hewiki	148	2073	2221	6.66	93.34	22
cswiki	169	206	375	45.07	54.93	23
svwiki	210	238	448	46.88	53.12	24
huwiki	1446	394	1840	78.59	21.41	26
hiwiki	77	31	108	71.3	28.7	27
fiwiki	730	221	951	76.76	23.24	28
elwiki	1181	932	2113	55.89	44.11	29
rowiki	525	844	1369	38.35	61.65	30
simplewiki	3758	1513	5271	71.3	28.7	31
bnwiki	82	370	452	18.14	81.86	32
cawiki	12	0	12	100.0	0.0	34
metawiki	5580	5421	11001	50.72	49.28	35
mswiki	43	84	127	33.86	66.14	37
bgwiki	358	101	459	78.0	22.0	38
frwiktionary	225	24	249	90.36	9.64	39
hrwiki	1	32	33	3.03	96.97	41
ruwiktionary	4	56	60	6.67	93.33	42
azwiki	19	142	161	11.8	88.2	43
uzwiki	1	441	442	0.23	99.77	44
skwiki	16	34	50	32.0	68.0	45
tawiki	2	33	35	5.71	94.29	46
enwikibooks	419	271	690	60.72	39.28	47
etwiki	6	82	88	6.82	93.18	48
dewiktionary	0	33	33	0.0	100.0	49
ltwiki	335	38	373	89.81	10.19	50
slwiki	18	5	23	78.26	21.74	52
hywiki	0	1	1	0.0	100.0	53
enwikisource	168	1011	1179	14.25	85.75	54
enwikivoyage	432	130	562	76.87	23.13	55
enwikiquote	858	1632	2490	34.46	65.54	57
mediawikiwiki	4974	3940	8914	55.8	44.2	58
euwiki	3	0	3	100.0	0.0	59
mrwiki	0	3	3	0.0	100.0	60
kawiki	8	201	209	3.83	96.17	61
lvwiki	185	13	198	93.43	6.57	62
plwiktionary	3	2	5	60.0	40.0	63
eswiktionary	60	52	112	53.57	46.43	64
mlwiki	11	1	12	91.67	8.33	65
knwiki	0	34	34	0.0	100.0	66
shwiki	0	62	62	0.0	100.0	67
frwikisource	1	0	1	100.0	0.0	68
tewiki	0	51	51	0.0	100.0	69
sqwiki	158	73	231	68.4	31.6	70
tlwiki	133	188	321	41.43	58.57	71
bswiki	2	2	4	50.0	50.0	72
urwiki	5	2843	2848	0.18	99.82	73
arzwiki	40	524	564	7.09	92.91	75
incubatorwiki	1436	3261	4697	30.57	69.43	76
elwiktionary	231	31	262	88.17	11.83	77
enwikiversity	15	58	73	20.55	79.45	78
mkwiki	48	21	69	69.57	30.43	79
eowiki	33	83	116	28.45	71.55	80
swwiki	0	42	42	0.0	100.0	82
ruwikisource	0	126	126	0.0	100.0	83
afwiki	26	563	589	4.41	95.59	84
jawiktionary	3202	882	4084	78.4	21.6	85
specieswiki	284	130	414	68.6	31.4	86
zhwikisource	36	68	104	34.62	65.38	88
cswiktionary	21	22	43	48.84	51.16	89
nnwiki	115	104	219	52.51	47.49	90
itwikiquote	0	2	2	0.0	100.0	91
zhwiktionary	17	7	24	70.83	29.17	92
astwiki	60	746	806	7.44	92.56	93
nlwiktionary	15	33	48	31.25	68.75	94
jawikibooks	2663	362	3025	88.03	11.97	95
iswiki	6	13	19	31.58	68.42	96
itwiktionary	2	812	814	0.25	99.75	98
ckbwiki	2	23	25	8.0	92.0	99
cebwiki	206	772	978	21.06	78.94	101
kywiki	6	5	11	54.55	45.45	102
ruwikiquote	68	9	77	88.31	11.69	103
lawiki	22	6	28	78.57	21.43	104
kmwiki	11	37	48	22.92	77.08	105
ruwikinews	4	31	35	11.43	88.57	107
hewikisource	0	327	327	0.0	100.0	109
viwiktionary	123	43	166	74.1	25.9	110
mywiki	31	1	32	96.88	3.12	111
ptwiktionary	199	15	214	92.99	7.01	112
svwiktionary	6	0	6	100.0	0.0	113
idwiktionary	20	20	40	50.0	50.0	115
cywiki	19	26	45	42.22	57.78	116
plwikisource	13	0	13	100.0	0.0	117
hawiki	62	96	158	39.24	60.76	118
eswikibooks	0	13	13	0.0	100.0	119
fiwiktionary	931	97	1028	90.56	9.44	120
aswiki	515	104	619	83.2	16.8	121
mnwiki	9	0	9	100.0	0.0	122
siwiki	8	2	10	80.0	20.0	123
eswikisource	38	4	42	90.48	9.52	124
tawikisource	0	2	2	0.0	100.0	125
frwikiversity	8	9	17	47.06	52.94	126
foundationwiki	0	125	125	0.0	100.0	127
itwikibooks	0	2	2	0.0	100.0	128
sourceswiki	56	37	93	60.22	39.78	129
ocwiki	6	5	11	54.55	45.45	130
frwikibooks	0	5	5	0.0	100.0	131
guwiki	6	0	6	100.0	0.0	132
ruwikivoyage	0	11	11	0.0	100.0	133
plwikiquote	70	6	76	92.11	7.89	134
scowiki	313	50	363	86.23	13.77	135
trwiktionary	0	3	3	0.0	100.0	136
zh_min_nanwiki	25	0	25	100.0	0.0	137
pawiki	8	1	9	88.89	11.11	138
gawiki	60	0	60	100.0	0.0	139
newiki	13	1	14	92.86	7.14	140
idwikibooks	4	26	30	13.33	86.67	141
brwiki	10	2	12	83.33	16.67	142
igwiki	54	39	93	58.06	41.94	143
jvwiki	43	239	282	15.25	84.75	144
kuwiki	11	1	12	91.67	8.33	146
bclwiki	59	7	66	89.39	10.61	147
lbwiki	6	0	6	100.0	0.0	148
idwikisource	2	10	12	16.67	83.33	149
minwiki	45	0	45	100.0	0.0	150
fywiki	3	23	26	11.54	88.46	151
tawiktionary	0	1001	1001	0.0	100.0	152
hewiktionary	5	10	15	33.33	66.67	154
warwiki	90	14	104	86.54	13.46	156
enwikinews	1585	2207	3792	41.8	58.2	157
thwiktionary	25	25	50	50.0	50.0	158
kowiktionary	24	10	34	70.59	29.41	159
yowiki	27	27	54	50.0	50.0	160
anwiki	3	0	3	100.0	0.0	162
suwiki	81	24	105	77.14	22.86	163
azbwiki	12	19	31	38.71	61.29	164
zhwikiversity	144	35	179	80.45	19.55	166
ukwikisource	0	2	2	0.0	100.0	167
sowiki	617	52	669	92.23	7.77	169
ruwikibooks	73	23	96	76.04	23.96	170
plwikibooks	30	2	32	93.75	6.25	171
zhwikibooks	10	13	23	43.48	56.52	172
bawiki	40	0	40	100.0	0.0	174
bnwikisource	33	0	33	100.0	0.0	175
cawiktionary	2	0	2	100.0	0.0	176
jawikisource	530	209	739	71.72	28.28	177
iowiki	3	2	5	60.0	40.0	178
tkwiki	188	19	207	90.82	9.18	179
trwikiquote	189	3	192	98.44	1.56	180
ptwikibooks	2	13	15	13.33	86.67	183
pnbwiki	26	15	41	63.41	36.59	184
simplewiktionary	60	73	133	45.11	54.89	185
huwiktionary	9	0	9	100.0	0.0	187
ukwiktionary	12	78	90	13.33	86.67	189
ndswiki	4	0	4	100.0	0.0	190
ptwikiversity	115	3	118	97.46	2.54	191
wuuwiki	29	10	39	74.36	25.64	192
bhwiki	2	9	11	18.18	81.82	193
frwikivoyage	1	2	3	33.33	66.67	194
amwiki	66	911	977	6.76	93.24	195
banwiki	147	0	147	100.0	0.0	196
fawiktionary	23	33	56	41.07	58.93	198
cewiki	74	1704	1778	4.16	95.84	199
liwiki	9	0	9	100.0	0.0	200
vecwiki	51	0	51	100.0	0.0	201
frwikiquote	3	0	3	100.0	0.0	205
plwikivoyage	25	0	25	100.0	0.0	207
dewikiversity	2	2	4	50.0	50.0	208
iawiki	6	2	8	75.0	25.0	210
mgwiki	51	0	51	100.0	0.0	213
bgwiktionary	23	18	41	56.1	43.9	215
nds_nlwiki	36	0	36	100.0	0.0	216
sahwiki	5	3	8	62.5	37.5	217
vowiki	10	0	10	100.0	0.0	218
eswikiquote	18	6	24	75.0	25.0	219
hifwiki	16	34	50	32.0	68.0	221
kowikisource	62	941	1003	6.18	93.82	222
fowiki	11	3	14	78.57	21.43	223
rowiktionary	66	3	69	95.65	4.35	224
ptwikiquote	3	2	5	60.0	40.0	226
scnwiki	7	12	19	36.84	63.16	228
mswiktionary	13	3	16	81.25	18.75	229
itwikiversity	5	20	25	20.0	80.0	230
quwiki	9	12	21	42.86	57.14	231
rwwiki	6	10	16	37.5	62.5	233
zhwikiquote	22	2	24	91.67	8.33	234
gdwiki	18	1	19	94.74	5.26	235
crhwiki	122	1	123	99.19	0.81	236
eswikiversity	39	24	63	61.9	38.1	237
frrwiki	2	0	2	100.0	0.0	238
orwiki	0	4	4	0.0	100.0	239
kwwiki	108	242	350	30.86	69.14	240
ilowiki	27	3	30	90.0	10.0	241
dewikiquote	0	2	2	0.0	100.0	243
lowiki	10	0	10	100.0	0.0	244
ukwikiquote	15	7	22	68.18	31.82	246
diqwiki	22	2	24	91.67	8.33	247
eswikivoyage	56	34	90	62.22	37.78	249
trwikisource	27	2	29	93.1	6.9	252
thwikisource	3	0	3	100.0	0.0	255
scwiki	66	0	66	100.0	0.0	256
mtwiki	1	9	10	10.0	90.0	258
fiwikibooks	39	6	45	86.67	13.33	259
pmswiki	23	1	24	95.83	4.17	260
hsbwiki	5	3	8	62.5	37.5	262
dagwiki	5	0	5	100.0	0.0	263
pswiki	16	88	104	15.38	84.62	264
ruewiki	58	11	69	84.06	15.94	266
zhwikivoyage	49	16	65	75.38	24.62	271
arwikiquote	20	32	52	38.46	61.54	273
frpwiki	4	1	5	80.0	20.0	275
huwikibooks	0	1	1	0.0	100.0	276
snwiki	57	17	74	77.03	22.97	279
angwiki	115	36	151	76.16	23.84	280
gvwiki	63	0	63	100.0	0.0	281
kuwiktionary	0	38	38	0.0	100.0	282
nsowiki	3	1	4	75.0	25.0	284
iewiki	7	0	7	100.0	0.0	286
ruwikiversity	9	0	9	100.0	0.0	287
ptwikisource	50	99	149	33.56	66.44	288
cawikibooks	4	2	6	66.67	33.33	290
cswikiquote	0	5	5	0.0	100.0	293
ffwiki	0	6	6	0.0	100.0	294
twwiki	0	23	23	0.0	100.0	296
trwikibooks	37	3	40	92.5	7.5	297
ptwikinews	122	11	133	91.73	8.27	298
zuwiki	104	40	144	72.22	27.78	299
rowikisource	6	0	6	100.0	0.0	300
elwikisource	7	0	7	100.0	0.0	305
etwikiquote	0	4	4	0.0	100.0	306
cswikibooks	0	2	2	0.0	100.0	307
itwikinews	30	2	32	93.75	6.25	308
pamwiki	72	22	94	76.6	23.4	309
hywwiki	2	0	2	100.0	0.0	310
svwikibooks	4	1	5	80.0	20.0	313
shnwiki	1	0	1	100.0	0.0	315
sdwiki	17	78	95	17.89	82.11	316
lfnwiki	6	2	8	75.0	25.0	317
bnwiktionary	2	0	2	100.0	0.0	320
frwikinews	22	1	23	95.65	4.35	325
thwikibooks	42	6	48	87.5	12.5	327
svwikisource	0	4	4	0.0	100.0	330
papwiki	3	0	3	100.0	0.0	333
iowiktionary	6	2	8	75.0	25.0	337
miwiki	8	13	21	38.1	61.9	338
etwiktionary	0	14	14	0.0	100.0	340
azwikisource	3	64	67	4.48	95.52	344
idwikiquote	10	11	21	47.62	52.38	345
dsbwiki	2	1	3	66.67	33.33	346
satwiki	1113	25	1138	97.8	2.2	348
jawikinews	607	348	955	63.56	36.44	350
azwiktionary	2	0	2	100.0	0.0	358
roa_tarawiki	5	0	5	100.0	0.0	359
azwikibooks	0	13	13	0.0	100.0	360
eswikinews	0	15	15	0.0	100.0	361
plwikinews	28	1	29	96.55	3.45	364
pagwiki	6	7	13	46.15	53.85	365
eewiki	21	1	22	95.45	4.55	369
bnwikibooks	11	49	60	18.33	81.67	370
viwikisource	21	36	57	36.84	63.16	371
ugwiki	19	2	21	90.48	9.52	372
madwiki	1	0	1	100.0	0.0	373
guwikisource	0	3	3	0.0	100.0	374
dewikinews	0	4	4	0.0	100.0	377
cswikiversity	0	15	15	0.0	100.0	378
ukwikivoyage	7	78	85	8.24	91.76	379
eowiktionary	63	2	65	96.92	3.08	380
rmwiki	0	1	1	0.0	100.0	383
ptwikivoyage	166	0	166	100.0	0.0	384
glwiktionary	20	0	20	100.0	0.0	385
shwiktionary	3	0	3	100.0	0.0	386
biwiki	41	14	55	74.55	25.45	389
pihwiki	289	11	300	96.33	3.67	392
novwiki	1	2	3	33.33	66.67	393
lgwiki	5	0	5	100.0	0.0	394
bnwikivoyage	0	2	2	0.0	100.0	395
smwiki	4	10	14	28.57	71.43	396
tumwiki	3	7	10	30.0	70.0	397
fiwikiquote	9	18	27	33.33	66.67	398
arwikiversity	1	31	32	3.12	96.88	399
dawiktionary	4	0	4	100.0	0.0	401
afwiktionary	2	0	2	100.0	0.0	403
kawiktionary	0	2	2	0.0	100.0	409
viwikibooks	0	103	103	0.0	100.0	412
bowiki	20	14	34	58.82	41.18	413
omwiki	7	892	899	0.78	99.22	416
arwikibooks	54	211	265	20.38	79.62	418
tpiwiki	2	0	2	100.0	0.0	419
tnwiki	471	2	473	99.58	0.42	420
viwikivoyage	1	44	45	2.22	97.78	421
mwlwiki	6	0	6	100.0	0.0	422
bgwikiquote	2	0	2	100.0	0.0	425
ukwikibooks	59	14	73	80.82	19.18	426
huwikiquote	2	2	4	50.0	50.0	427
hawwiki	79	67	146	54.11	45.89	432
jbowiki	8	0	8	100.0	0.0	435
tswiki	288	0	288	100.0	0.0	436
thwikiquote	419	0	419	100.0	0.0	442
dvwiki	47	3	50	94.0	6.0	448
sswiki	2	0	2	100.0	0.0	450
kgwiki	16	13	29	55.17	44.83	451
kswiki	4	0	4	100.0	0.0	452
elwikiversity	2	0	2	100.0	0.0	455
nywiki	0	12	12	0.0	100.0	459
udmwiki	14	0	14	100.0	0.0	461
arcwiki	3	0	3	100.0	0.0	465
kowikibooks	50	1	51	98.04	1.96	469
kiwiki	37	2	39	94.87	5.13	473
stwiki	668	7	675	98.96	1.04	474
etwikibooks	0	169	169	0.0	100.0	476
jawikiquote	422	479	901	46.84	53.16	480
cawikiquote	0	4	4	0.0	100.0	486
sqwikibooks	45	1	46	97.83	2.17	487
guwwiki	189	0	189	100.0	0.0	488
mnwwiki	1	0	1	100.0	0.0	489
elwikivoyage	39	0	39	100.0	0.0	493
newwiki	1	2	3	33.33	66.67	495
tlwiktionary	9	0	9	100.0	0.0	496
fjwiki	29	8	37	78.38	21.62	501
jamwiki	3	0	3	100.0	0.0	503
hiwikiquote	0	3	3	0.0	100.0	504
towiki	1	0	1	100.0	0.0	505
rnwiki	5	2	7	71.43	28.57	506
swwiktionary	28	20	48	58.33	41.67	508
jawikivoyage	162	455	617	26.26	73.74	515
mniwiki	54	0	54	100.0	0.0	516
nqowiki	148	1	149	99.33	0.67	517
svwikivoyage	4	0	4	100.0	0.0	520
ltgwiki	7	2	9	77.78	22.22	521
hrwikisource	1	0	1	100.0	0.0	523
cuwiki	13	2	15	86.67	13.33	524
nlwikiquote	8	3	11	72.73	27.27	527
tewiktionary	3	0	3	100.0	0.0	528
eowikivoyage	79	0	79	100.0	0.0	531
nlwikinews	0	2	2	0.0	100.0	534
arwikinews	19	27	46	41.3	58.7	539
dinwiki	22	43	65	33.85	66.15	540
jawikiversity	531	67	598	88.8	11.2	541
trwikivoyage	2	0	2	100.0	0.0	542
ikwiki	2	2	4	50.0	50.0	547
cywiktionary	3	0	3	100.0	0.0	550
rowikivoyage	29	0	29	100.0	0.0	556
dzwiki	8	9	17	47.06	52.94	557
viwikiquote	0	5	5	0.0	100.0	558
chwiki	23	98	121	19.01	80.99	563
bgwikisource	30	0	30	100.0	0.0	570
kowikiquote	22	1	23	95.65	4.35	572
iuwiki	327	266	593	55.14	44.86	574
tiwiki	4	4	8	50.0	50.0	575
jvwikisource	2	0	2	100.0	0.0	579
gotwiki	447	4	451	99.11	0.89	580
elwikibooks	0	2	2	0.0	100.0	582
kowikinews	12	3	15	80.0	20.0	585
bgwikibooks	96	16	112	85.71	14.29	587
ukwikinews	5	43	48	10.42	89.58	589
sqwikiquote	19	7	26	73.08	26.92	591
rowikiquote	12	0	12	100.0	0.0	593
mrwiktionary	5	0	5	100.0	0.0	595
sowiktionary	0	7	7	0.0	100.0	597
crwiki	38	127	165	23.03	76.97	599
hiwikivoyage	0	2	2	0.0	100.0	600
cawikinews	9	3	12	75.0	25.0	603
adywiki	60	59	119	50.42	49.58	604
chrwiki	49	6	55	89.09	10.91	605
lvwiktionary	11	0	11	100.0	0.0	610
eowikinews	0	58	58	0.0	100.0	611
chywiki	11	5	16	68.75	31.25	612
siwiktionary	4	0	4	100.0	0.0	613
fiwikivoyage	16	1	17	94.12	5.88	614
vewiki	214	29	243	88.07	11.93	620
kbdwiki	7	1	8	87.5	12.5	621
kywiktionary	28	1	29	96.55	3.45	624
tawikibooks	0	12	12	0.0	100.0	626
lawikiquote	14	0	14	100.0	0.0	627
suwikiquote	27	0	27	100.0	0.0	629
piwiki	0	2	2	0.0	100.0	631
hifwiktionary	4	0	4	100.0	0.0	632
tlwikibooks	10	0	10	100.0	0.0	635
knwikiquote	1	0	1	100.0	0.0	641
etwikisource	0	2	2	0.0	100.0	645
mkwiktionary	6	0	6	100.0	0.0	647
hewikinews	2	0	2	100.0	0.0	650
fjwiktionary	0	2	2	0.0	100.0	651
vowiktionary	2	0	2	100.0	0.0	661
hiwikiversity	4	0	4	100.0	0.0	662
amwiktionary	0	5	5	0.0	100.0	663
iawiktionary	2	0	2	100.0	0.0	665
dawikiquote	0	18	18	0.0	100.0	666
jbowiktionary	7	9	16	43.75	56.25	670
gawiktionary	27	3	30	90.0	10.0	673
kcgwiki	18	0	18	100.0	0.0	677
svwikiversity	2	1	3	66.67	33.33	693
rowikinews	52	4	56	92.86	7.14	700
stwiktionary	5	4	9	55.56	44.44	701
mrwikiquote	2	0	2	100.0	0.0	708
iewiktionary	2	0	2	100.0	0.0	709
fiwikiversity	6	0	6	100.0	0.0	712
fawikinews	0	11	11	0.0	100.0	716
zh_min_nanwikisource	3	0	3	100.0	0.0	717
rwwiktionary	2	4	6	33.33	66.67	720
fiwikinews	5	0	5	100.0	0.0	724
chrwiktionary	4	30	34	11.76	88.24	725
sqwikinews	21	5	26	80.77	19.23	728
ugwiktionary	0	2	2	0.0	100.0	730
afwikiquote	1	8	9	11.11	88.89	731
iuwiktionary	18	2	20	90.0	10.0	734
kwwiktionary	0	1	1	0.0	100.0	742
pswikivoyage	1	0	1	100.0	0.0	743
dvwiktionary	3	0	3	100.0	0.0	745
elwikinews	3	0	3	100.0	0.0	751
fowikisource	0	2	2	0.0	100.0	754
guwikiquote	2	0	2	100.0	0.0	758
kywikibooks	3	3	6	50.0	50.0	760
tawikinews	0	4	4	0.0	100.0	760
liwikibooks	2	4	6	33.33	66.67	760
rowikibooks	30	0	30	100.0	0.0	760
afwikibooks	2	14	16	12.5	87.5	760
